alpha,valence,seed,proto_id,well_depth,proto_distance,gru_ih_norm,gru_hh_norm,proto_g_0,proto_g_1,proto_g_2,proto_g_3,proto_g_4,proto_g_5,proto_g_6,proto_g_7,proto_g_8,proto_g_9,proto_g_10,proto_g_11
0.25,MMMM,3,0,2.5543380615999922e-05,8.502680778503418,7.9269118309021,8.35183334350586,1.0051356554031372,0.8887302279472351,-0.9667471051216125,0.5643320083618164,1.5282841920852661,0.5340666174888611,-0.2388136237859726,-1.380738615989685,-0.5407976508140564,0.6741098761558533,-1.5972613096237183,1.9823722839355469
0.25,MMMM,3,1,2.5543380615999922e-05,8.502680778503418,7.9269118309021,8.35183334350586,-1.0962698459625244,-0.7968617081642151,0.9759752154350281,-1.0668827295303345,-2.044261932373047,-1.3170223236083984,1.3932912349700928,2.0145647525787354,0.9147958159446716,-0.23006193339824677,1.740142822265625,-1.7789316177368164
0.25,MMMM,4,0,2.812195089063607e-05,8.377411842346191,7.810067653656006,7.458531379699707,0.2701948583126068,0.23620963096618652,1.288867473602295,1.0796244144439697,2.0309650897979736,0.45209574699401855,-0.49536702036857605,-1.6987125873565674,-0.5385419130325317,-0.4036265015602112,-1.933315634727478,1.327354907989502
0.25,MMMM,4,1,2.812195089063607e-05,8.377411842346191,7.810067653656006,7.458531379699707,-1.6308133602142334,-0.10830482095479965,-0.8178368210792542,-1.2166306972503662,-1.39795982837677,-1.6404614448547363,1.4842709302902222,1.696131706237793,0.9273681044578552,0.599364161491394,1.5609169006347656,-1.8019752502441406
0.25,MMMM,5,0,1.88311496458482e-05,17.24248695373535,8.564583778381348,7.457483768463135,-4.526274681091309,-4.860471725463867,-5.103879451751709,4.791817665100098,-5.179801940917969,-5.543741226196289,-5.358125686645508,-5.0032877922058105,4.780513763427734,-4.343325138092041,5.1168107986450195,5.025965213775635
0.25,MMMM,5,1,1.88311496458482e-05,17.24248695373535,8.564583778381348,7.457483768463135,-0.09029082208871841,0.0366378091275692,0.028256956487894058,0.05340111255645752,0.08669548481702805,-0.2272290140390396,0.12388844043016434,-0.017402712255716324,0.03576906397938728,0.051207803189754486,-0.11585207283496857,0.05261366814374924
0.25,SSSS,0,0,4.126207568333484e-05,8.213947296142578,7.559164047241211,7.1448493003845215,0.8435816168785095,1.1953827142715454,-1.6378601789474487,-1.0788449048995972,-0.18341316282749176,1.291508674621582,-0.8174057602882385,2.1142044067382812,-0.528369128704071,-0.5636357665061951,2.541914224624634,-1.5438274145126343
0.25,SSSS,0,1,4.126207568333484e-05,8.213947296142578,7.559164047241211,7.1448493003845215,-0.6926904320716858,-0.4825475811958313,0.622071385383606,0.5341771245002747,1.430861473083496,-0.4717293977737427,-0.15063884854316711,-1.417123794555664,-0.2291329950094223,-0.07949841767549515,-2.4723894596099854,1.6945829391479492
0.25,SSSS,1,0,2.6146555683226325e-05,8.638908386230469,7.80692195892334,7.460872173309326,0.5672453045845032,1.003610372543335,-2.246413230895996,-1.7344532012939453,-0.35296830534935,1.3941508531570435,-1.0814309120178223,2.064042806625366,0.4192124307155609,-1.8041832447052002,2.4575889110565186,-2.149386405944824
0.25,SSSS,1,1,2.6146555683226325e-05,8.638908386230469,7.80692195892334,7.460872173309326,-0.371486097574234,-0.052521657198667526,1.6019465923309326,0.2909531593322754,1.0989943742752075,-0.14333032071590424,-0.4222039580345154,-1.2810081243515015,-0.7079126834869385,1.1167579889297485,-1.337782859802246,1.5137841701507568
0.25,SSSS,2,0,4.286339753889479e-05,17.307870864868164,7.650344371795654,6.70257568359375,-5.692991733551025,-4.690549373626709,-4.278323650360107,4.792722225189209,-5.080793380737305,5.287639617919922,5.530361652374268,-5.1967973709106445,4.126755714416504,5.2159857749938965,5.057788848876953,3.6333794593811035
0.25,SSSS,2,1,4.286339753889479e-05,17.307870864868164,7.650344371795654,6.70257568359375,-0.04386172071099281,0.04770180583000183,-0.19397610425949097,-0.1944916993379593,0.24754704535007477,0.09231432527303696,-0.29016274213790894,-0.05581663176417351,-0.22966432571411133,-0.24650396406650543,0.07143194228410721,-0.14454980194568634
0.25,SSSS,3,0,1.6128531569847837e-05,10.666769027709961,7.374293327331543,7.390872001647949,-0.6600610017776489,1.179412841796875,-0.7449417114257812,0.1345852017402649,1.1472233533859253,-0.3833591639995575,0.17132289707660675,-0.9672878384590149,1.1569751501083374,0.5360437035560608,-0.6085755228996277,1.0608208179473877
0.25,SSSS,3,1,1.6128531569847837e-05,10.666769027709961,7.374293327331543,7.390872001647949,1.741974949836731,-1.6979916095733643,1.5683757066726685,-2.3664262294769287,-1.6748888492584229,2.3513081073760986,-1.9489456415176392,3.048734188079834,-2.670126438140869,-1.9858014583587646,3.254960536956787,-2.954676866531372
0.25,SSSS,4,0,2.4832665076246485e-05,8.373025894165039,8.128710746765137,7.289287567138672,0.05593908578157425,-0.9744735360145569,1.3261936902999878,0.8171860575675964,1.1909539699554443,-0.6793307662010193,-0.5153622627258301,-2.0540757179260254,-0.34372085332870483,0.39483392238616943,-1.6031686067581177,1.8089181184768677
0.25,SSSS,4,1,2.4832665076246485e-05,8.373025894165039,8.128710746765137,7.289287567138672,0.002587183378636837,1.2713570594787598,-1.5712628364562988,-1.5124461650848389,0.35108304023742676,1.180133581161499,-0.2850629389286041,1.6487677097320557,0.320048987865448,-1.0978991985321045,2.3539798259735107,-2.061943769454956
0.25,SSSS,5,0,3.34049436787609e-05,17.29437255859375,7.596618175506592,6.223264217376709,-4.644427299499512,-4.80783224105835,5.2083964347839355,4.760437488555908,-5.1852335929870605,-5.501710891723633,-5.20371150970459,-4.955621242523193,4.784577369689941,-4.132357597351074,4.923753261566162,4.985657215118408
0.25,SSSS,5,1,3.34049436787609e-05,17.29437255859375,7.596618175506592,6.223264217376709,0.03229556232690811,0.1383880376815796,-0.09025587886571884,-0.0794556587934494,0.3585743010044098,0.1943638026714325,-0.2107471227645874,0.03183194622397423,-0.15688392519950867,-0.11239573359489441,0.172889843583107,-0.02691909484565258
0.5,MMMM,0,0,4.575303682941012e-05,8.644641876220703,8.352739334106445,7.256007194519043,-0.7732626795768738,-0.34680187702178955,0.5963839292526245,-0.6795081496238708,-1.8460956811904907,-1.6721458435058594,1.4302748441696167,2.137568712234497,1.1487634181976318,0.8721607327461243,1.9881073236465454,-1.2702900171279907
0.5,MMMM,0,1,4.575303682941012e-05,8.644641876220703,8.352739334106445,7.256007194519043,0.5959938764572144,0.9800605773925781,-0.6235383152961731,0.4218662977218628,1.2544610500335693,0.8867871165275574,-0.4969007670879364,-1.4685463905334473,-1.1829384565353394,-0.7627091407775879,-2.484199285507202,1.4504351615905762
